id;street_address;postal_code;city;state_province
1;fudge yippee democrat;unto logic;Columbia;rule unlike
2;perfectly likewise;silence so;South Ressie;supposing
3;even aha;open;Danielworth;phooey alarmed
4;princess;daring;Lake Dorotheastad;gosh
5;moai searchingly oof;whose;Alvisberg;however shyly psst
6;orderly courageously anesthesiology;though consult;Gastonia;jovially
7;whose;how;Lednershire;unhook of
8;through false;instead perfect;North Missouri;aha
9;likable minty phew;whether;Kentonport;perjure consequently warfare
10;blah flamboyant;if liquid;Lake Douglasburgh;uncomfortable
